La traición de Rita Hayworth,Boquitas pintadas,The Buenos Aires affair,El beso de la mujer araña,Pubis angelical,Manuel Puig
El Dr Jekyll y Mr Hyde,La isla del tesoro,La resaca,Robert L Stevenson
Todos bailan,La rosa blindada,Ocho documentos de hoy,La muerte en Madrid,Canciones del tercer frente,Raul Gonzalez Tuñon
El conde de Montecristo,El hombre de la mascara de hierro,La Dama de las camelias,Los tres mosqueteros,Alejandro Dumas
Morir sobre los campos,Dos palabras,El hijo,Alfonsina Storni
Museo de la Novela de la Eterna,Cuadernos de todo y nada,Teorías,Adriana Buenos Aires última novela,Epistolario,Relatos,Macedonio Fernandez
Historia. El mundo contemporáneo,Historia. La Argentina contemporánea,Pasado en Presente,Historia confidencial,Los mitos de la historia argentina,Lo pasado pensado,Evita,1810,Libertadores de América,Mujeres tenían que ser,Felipe Pigna
La invención de Morel,Plan de evasión,El sueño de los héroes,Diario de la guerra del cerdo,Dormir al sol,Adolfo Bioy Casares
El entierro de las ratas,Dracula,Bram Stoker
Chatanooga Choochoo,El Mocho,El Tiempo Perdido,Este Domingo,La Misteriosa Desaparicion De La Marquesita De Loria,Sueños De Mala Muerte,Jose Donoso
El abanico de Lady Windermere,El fantasma de Canterville,El retrato de dorian gray,La Importancia de llamarse Ernesto,Oscar Wilde
Facundo,Comentarios de la Constitución,Instituciones sudamericanas,Legislación y progresos en Chile,Educación popular,Domingo Faustino Sarmiento
Los tigres de la Malasia,Sandokan,Emilio Salgari
El matadero,La cautiva,Don Juan,Los consuelos,Esteban Echeverria
Maldición eterna a quien lea estas páginas,Sangre de amor correspondido,Cae la noche tropical,Manuel Puig
Política nacional y revisionismo histórico,Prosa de hacha y tiza,Forja y la Década Infame,Filo,El medio pelo en la sociedad argentina,Arturo Jauretche
Humor Negro,Las venas abiertas de América Latina,Eduardo Galeano
El violín del diablo,Poema del conventillo,Miércoles de ceniza,La calle del agujero en la media,El otro lado de la estrella,Raul Gonzalez Tuñon
El hombre mediocre,Hacia una moral sin dogmas,Ciencia y filosofía,Proposiciones relativas al porvenir de la filosofía,Jose Ingenieros
Carta a su padre,El artista del hare,La metamosfosis,Franz Kafka
Violín y otras cuestiones,El juego en que andamos,Velorio del solo,Gotán,Cólera buey,Traducciones III. Los poemas de Sydney West,Juan Gelman
Los trenes matan a los autos,Una lección de vida,Puro fútbol,Te digo más...,Usted no me lo va a creer,El rey de la milonga,Negar todo,Roberto Fontanarrosa
El Dragon Y El Unicornio,El Lobo Y La Corona,A.A Attanasio
Educación común,Argirópolis,Campaña en el Ejército grande,Domingo Faustino Sarmiento
Severino Di Giovanni el idealista de la violencia,Exilio,Fútbol argentino,Rebeldía y esperanza,A contrapelo. Conversaciones con Osvaldo Bayer,En camino al paraíso,Rainer y Minou,Obras completas,¿Qué debemos hacer los anarquistas?,Osvaldo Bayer
Sudeste,Alrededor de la jaula,En vida,Mascaró el cazador americano,Haroldo Conti
Cuento de navidad,El grillo del hogar,El Guardaví­a,Oliver Twist,Charles Dickens
El origen de las especies,Viaje de un naturalista,Charles Darwin
Amotinados de la Bounty,Ante la bandera,Aventura de tres Rusos y tres Ingleses,Castillo De Los Carpatos,Julio Verne
Bodas de Sangre,Viaje a la Luna,Poemas,Romancero Gitano,Federico García Lorca
Triste solitario y final,No habrá más penas ni olvido,Cuarteles de invierno,A sus plantas rendido un león,Osvaldo Soriano
Pulp,El cartero,La senda del perdedor,Charles Bukowsky
Los crímenes de Van Gogh,El mandato,La crítica de las armas,La sombra de Heidegger,Timote: secuestro y muerte del general Aramburu,Carter New York,Carter Vietnam,Días de infancia,Jose Pablo Feinmann
Fábulas,Relaciones,Hechos y relaciones,Si dulcemente,Citas y Comentarios,Hacia el Sur,Com/posiciones,Interrupciones,Juan Gelman
Cayó sobre su rostro,Los años despiadados,Un Dios cotidiano,Los dueños de la tierra,Dar la cara,En la semana trágica,Hombres de a caballo,David Viñas
Ultimos días de la víctima,Ni el tiro del final,El ejército de ceniza,La astucia de la razón,El cadáver imposible,Jose Pablo Feinmann
El aleph,El hacedor,El informe de Brodie,El libro de arena,Ficciones,Historia universal de la infamia,La memoria de Shakespeare,Seis problemas para don Isidro Parodi,Jorge Luis Borges
Lobo Estepario,Siddharta,Hermann Hesse
El Diablo y el relojero,El Diario Del Año De La Peste,Robinson Crusoe,Daniel Defoe
El salvaje,Las sacrificadas,El hombre muerto,Anaconda,El desierto,Los desterrados,Pasado amor,Suelo natal,Más allá,Horacio Quiroga
Crítica de la razón pura,Teoría y praxis,Emmanuel Kant
Respiración artificial,La ciudad ausente,Plata quemada,Blanco nocturno,El camino de Ida,Ricardo Piglia
Caleidoscopio,Cronicas Marcianas,El Marciano,El Marciano,Ray Bradbury
Final Del Juego,Historias de cronopios y famas,La Noche Boca Arriba,La Otra Orilla,Las Armas Secretas,Los Venenos,Julio Cortázar
